日付	最高気温
2024-01-01	12.5
2024-01-02	9.2
2024-01-03	11
2024-01-04	15.3
2024-01-05	13.6
2024-01-06	15.6
2024-01-07	12.7
2024-01-08	10.2
2024-01-09	11
2024-01-10	12.3
2024-01-11	7.2
2024-01-12	13.7
2024-01-13	11.7
2024-01-14	10.5
2024-01-15	11.4
2024-01-16	7
2024-01-17	12.2
2024-01-18	13.4
2024-01-19	15.1
2024-01-20	7.6
2024-01-21	12.1
2024-01-22	14.6
2024-01-23	13.9
2024-01-24	8.4
2024-01-25	9.6
2024-01-26	12
2024-01-27	12.2
2024-01-28	9.6
2024-01-29	11.9
2024-01-30	13.3
2024-01-31	14.1
2024-02-01	16.3
2024-02-02	7.6
2024-02-03	11.7
2024-02-04	6.9
2024-02-05	6.2
2024-02-06	5.4
2024-02-07	9.6
2024-02-08	11.3
2024-02-09	11.3
2024-02-10	12.4
2024-02-11	12.8
2024-02-12	12.7
2024-02-13	17.3
2024-02-14	18.5
2024-02-15	21.1
2024-02-16	17
2024-02-17	13.6
2024-02-18	18.8
2024-02-19	17.2
2024-02-20	23.7
2024-02-21	13.2
2024-02-22	8
2024-02-23	4
2024-02-24	10.3
2024-02-25	5.8
2024-02-26	13.3
2024-02-27	11.4
2024-02-28	14.4
2024-02-29	11.8
2024-03-01	16.4
2024-03-02	10.1
2024-03-03	13.4
2024-03-04	15.7
2024-03-05	9.1
2024-03-06	10.4
2024-03-07	10.7
2024-03-08	9.4
2024-03-09	11.2
2024-03-10	13.6
2024-03-11	13.8
2024-03-12	10
2024-03-13	13.7
2024-03-14	15.6
2024-03-15	17.6
2024-03-16	22.7
2024-03-17	21.7
2024-03-18	14.6
2024-03-19	12.4
2024-03-20	15.7
2024-03-21	11.4
2024-03-22	13.3
2024-03-23	9.3
2024-03-24	15.5
2024-03-25	12.5
2024-03-26	12.3
2024-03-27	16.5
2024-03-28	14.6
2024-03-29	22.2
2024-03-30	24.6
2024-03-31	28.1
2024-04-01	19.7
2024-04-02	20.6
2024-04-03	16.6
2024-04-04	19.9
2024-04-05	15.1
2024-04-06	15.8
2024-04-07	22.6
2024-04-08	23.2
2024-04-09	19.8
2024-04-10	17.8
2024-04-11	19.8
2024-04-12	18.2
2024-04-13	22.7
2024-04-14	24.8
2024-04-15	26.8
2024-04-16	23.4
2024-04-17	25.5
2024-04-18	21.4
2024-04-19	23.6
2024-04-20	26.1
2024-04-21	23.3
2024-04-22	18.6
2024-04-23	19.4
2024-04-24	16.5
2024-04-25	25.8
2024-04-26	25.1
2024-04-27	23.2
2024-04-28	28.2
2024-04-29	25.8
